title,url,summary,top_tag,middle_tags
Pokémon WCSを楽しもう カードゲーム編【リモポケ学会ex】,https://www.youtube.com/watch?v=bHUte8v_lXs,"このプレゼンテーションでは、ポケモンのWCS（ポケモンワールドチャンピオンシップ）について話されています。プレゼンターは自身がポケモンカードの世界大会に参加した経験を持ち、WCSの概要や参加方法について説明しています。WCSは毎年アメリカで開催されており、今年はロンドンでも行われる予定です。日本代表になるためにはポイントや大会での上位入賞が必要であり、日本人の参加者も多いです。対戦方式やカードの使用制限が日本と世界で異なることが特徴であり、プレゼンターは世界大会での経験を通じて、ライバルとの交流や楽しさを感じていると述べています。

また、ポケモンカードに関する情報が紹介されており、ポケモンGOは世界同時発売され、日本では他のカードが使えない中、ポケモンGOだけが使用可能です。ポケモンカードの練習はジムバトルでは難しいため、専用の練習が必要です。WCSでは、異なる国のプレイヤーとのコミュニケーションが難しいため、英語が必要です。大会ではスイスドロー方式が採用され、勝ち続けることが重要です。アルセウスとオリジンパルキアは強力なカードであり、アメリカ大会の優勝者も使用していました。

さらに、ポケモンカードの特徴や楽しみ方についても触れられています。プレゼンターは自身も参加したいと思っており、他の人にも参加を勧めています。質問やコメントはYouTubeのコメント欄で受け付けていることも伝えられています。

最後に、ポケモンカードの大会やルールについての説明や質問に答えながら、世界大会の開催や各国の参加者の年齢層についても触れられています。また、ポケモンカードの制作や世界同時発売の理由についても推測しています。プレゼンター自身のお店の宣伝も行っています。

以上が、このプレゼンテーションの要点のまとめです。",商品・経済,"['#ポケモンカードゲーム', '#ポケモン大会', '#ポケモン情報収集']"
ある男【リモポケ学会#6】,https://www.youtube.com/watch?v=YGHAc3R7haQ,このプレゼンテーションでは、ポケモンのキャラクターであるダンデに焦点を当てています。彼はガラル地方で最強と言われ、無敗の記録を持っています。彼の強さや孤独さ、正面から戦うスタイルが強調されています。また、彼の存在はポケモンシリーズだけでなく現実世界にも影響を与えている可能性があります。さらに、ポケモンのゲームやキャラクターについての話題や、ポケモンとAIについての話題も取り上げられています。ポケモンを通じてAIについて詳しくなり、親しみを持ってもらいたいという目的があります。,技術・研究,"['#AIとポケモン', '#ダンデ', '#ポケモンと現実世界']"
エーフィは何故たいようのいしで進化しないのか？【リモポケ学会#5】,https://www.youtube.com/watch?v=_48Gp5ybxys,このプレゼンテーションでは、ポケモンの進化に関する考察が行われています。進化の石や環境の影響、特定の条件やアイテムの関与などが話されました。イーブイやエーフィの進化条件の違いや、タイプ進化の石と非タイプ進化の石の違いについても触れられました。ただし、これらは仮説であり、公式の見解ではないことに注意が必要です。全体的に、ポケモンの進化や環境についての考察が行われました。,ポケモンの進化・生態,"['#ポケモンの進化', '#ポケモン進化論']"
オニシズクモがすごい！【リモポケ学会#mini1】,https://www.youtube.com/watch?v=l7IJZtSdhq4,このプレゼンテーションでは、ポケモンの鬼雫と雫もについての特徴やデザインが説明されました。鬼雫はクモポケモンであり、他のクモポケモンとは異なる足の数や位置を持っています。また、鬼蜘蛛の要素も取り入れられており、水ポケモンとしての要素も表現されています。雫もは逆転した姿と頭の大きさが特徴で、糸丸が逆立ちしているようなポケモンです。プレゼンテーションでは、ポケモンのデザインや特徴に関する興味深い情報が紹介され、参加者からの質問にも答えられました。次のプレゼンテーションは響子さんのグレイシアGXについての解説となることが発表されました。,基本情報,"['#ポケモンデザイン', '#オニシズクモ', '#リモポケ学会']"
コイキングの強さ ギャラドスの弱さ【リモポケ学会#7】,https://www.youtube.com/watch?v=1ppzheaqgO0,このプレゼンテーションでは、コイキングとギャラドスの強さと弱さについて説明されています。コイキングは非常に弱く、どこにでもいる特徴がありますが、生命力や繁殖力は強いです。一方、ギャラドスは凶暴な性格で、口から出す破壊光線で全てを焼き尽くす能力を持っています。ギャラドスは滅多に姿を現さず、現れたら突然暴れ、周りを破壊していく特徴があります。コイキングとギャラドスは進化関係ではなく、コイキングが長生きしてもギャラドスには進化しないようです。ギャラドスは普段はコイキングのまま長生きしているが、特別な役割を持っていて、起こって暴れる必要がある存在のようです。また、バッタの群れとポケモンのギャラドスの性質についても説明されました。バッタの群れは大群で移動し、短い羽と大きな足を持ちますが、寿命が短く、卵を産む数も少ないことが知られています。ギャラドスは単体で暴れ、長い羽と小さな足を持っています。バッタの群れとギャラドスは、普段は見せない姿で生活していますが、特定の状況下で変化し、災害を引き起こします。バッタの群れは移動力に長けており、ギャラドスは飛行能力と戦闘能力に優れています。コイキングはギャラドスに進化することが難しく、コイキングでいる方が生きやすいと考えられます。ギャラドスはコイキングの弱点をカバーし、コイキングの繁栄のために自己犠牲をする存在として存在しています。人間とギャラドスの関係についても触れられており、人間の争いがギャラドスの出現を引き起こす可能性があることが示唆されています。さらに、コイキングとギャラドスの関係やトレーナーとギャラドスの関係についても説明されました。コイキングが増えすぎるとギャラドスが生まれ、人間の争いが原因でコイキングが追い詰められることもあります。また、環境の厳しさや人間の数の増加もコイキングとギャラドスの発生に関与している可能性があります。ギャラドスは強力で凶悪な存在とされており、トレーナーとの信頼関係が築かれることもあります。さらに、ギャラドスは環境を破壊することで有利な状況を作り出す可能性もあります。ゲームでは、コイキングの模様や色のバリエーションが存在し、これが生存に有利に働いている可能性もあります。最後に、パルデラ近海では多くのギャラドスが見られるが、それが争いの絶えない魔境であるか特別な意味があるかは明確ではありません。このプレゼンテーションでは、ギャラドスとコイキングについて話されました。ギャラドスの存在や図鑑説明、ゲーム内でのスライドの違いなどが取り上げられました。また、コイキングが強くなる理由や、昔のポケモンの強さについても言及されました。さらに、ギャラドスの飛行能力や金塊についての話題もありました。最後に、質疑応答の時間が設けられ、次のプレゼンテーションの予告も行われました。,ポケモンの進化・生態,"['#コイキング', '#ギャラドス', '#ポケモン進化の謎', '#ポケモンと人間の共生']"
サンドイッチ爆発学番外編 「なぜ我々は高所から具材を落とすのか？」【リモポケ学会#mini1】,https://www.youtube.com/watch?v=t28BmPqdOgw,このプレゼンテーションでは、「ポケットモンスタースカーレットバイオレット」のミニゲーム「サンドウィッチ作り」について話されています。具体的には、高所から具材を落とすことで滑らかさや社交性が向上し、ポケモンの体力回復や特定の効果が得られる可能性があるという仮説が立てられています。また、ポケモンのゲーム内での料理の効果やパラメータについても説明されています。主人公の存在がポケモンたちに光を灯し、新たな可能性を広げていることや、ポケモン同士の社交性についても言及されました。最後には質疑応答が行われ、プレゼンテーションは終了しました。,その他,"['#ポケモンミニゲーム', '#ポケモン料理']"
ジムリーダーから考えるキャラクターコンテンツとしてのポケモン【リモポケ学会#7】,https://www.youtube.com/watch?v=JiAz2LRPl0Y,このプレゼンテーションでは、ポケモンシリーズにおけるトレーナーの変遷とジムリーダーのメディア展開について考察されました。ポケモンシリーズは幅広い世代に支持されており、特に最近ではトレーナーが注目されています。ジムリーダーはポケモンシリーズのキャラクターコンテンツとして非常に重要であり、成功していると言えます。ポケモン公式のキャラクター戦略やメディア露出がユーザーに与える影響も考察され、ジムリーダーの人気は世代ごとに分布しているが、第5世代と第8世代が特に人気であることが結論としてまとめられました。また、ジムリーダーの人気や影響力がポケモンのグッズ展開やイベントにも影響を与えていることが示されました。プレゼンテーションは予定が変更されて13時55分から開催されることになりました。,商品・経済,"['#ポケモングッズ', '#ジムリーダー', '#メディアミックス']"
ジムリーダーから考えるポケモンリーグ～組織と地域性～【リモポケ学会#6】,https://www.youtube.com/watch?v=z1SmXnawQLw,このプレゼンテーションでは、ポケモンリーグについての考察や問題点が取り上げられています。ポケモンリーグの存在意義や組織についての考察や、ジムリーダーの職業や選考方法、兼業リーダーの増加、ポケモンリーグの運営方法などが紹介されています。また、アローラ地方ではポケモンリーグが存在せず、ポケモンとの共存を重視していることが紹介されています。さらに、ジムリーダーやポケモンセンターの役割や関連性、ポケモンの世界における反社会的組織のリーダーの公務員就職についても話されました。次回のプレゼンでは、ポケモンの進化に関する調査結果が発表される予定です。,ポケモンというゲーム・その戦略,"['#ポケモン戦略', '#ジムリーダー', '#ポケモンリーグ']"
シンオウ地方の忘れられた神と宗教【リモポケ学会#2】,https://www.youtube.com/watch?v=pPD4ckuyh_M,このプレゼンテーションでは、ポケモンのシンオウ地方と伝説のポケモンであるアルセウスについて話されています。アルセウスは世界を生み出す力を持っており、シンオウ地方の人々や考古学者たちには知られていません。しかし、プラチナ版ではアルセウスを入手することができず、その存在についてはバグ技やゲーム内のイベントでのみ知ることができました。また、シンオウ地方の信仰や宗教的な要素も取り上げられ、ポケモンの世界の歴史や信仰の変遷についても説明されました。さらに、ポケモンの世界でのテンガン山という聖地やアルセウスの存在に関する議論も行われました。プレゼンターは、参加者の質問にも丁寧に答え、ポケモンの世界について興味深い情報を提供しました。,ポケモンの進化・生態,"['#伝説のポケモン', '#シンオウ地方', '#アルセウス', '#ポケモン宗教']"
シンプルな対戦システムながら奥が深いGOの対戦【リモポケ学会ex】,https://www.youtube.com/watch?v=W3eo8Ae3SkA,このプレゼンテーションでは、ポケモンGOの対戦システムやルールについて詳しく説明されています。対戦は他のプレイヤーやランダムな相手と行われ、6匹のポケモンを見せ合って3匹を選び、相手のポケモンを倒すことで勝利します。ポケモンの強さはCPという指標で表され、1500以下のポケモンのみが使用できます。プレゼンテーションでは、ポケモンの仕様やルール、画面の見方や技の使用方法、cpの計算式やシャドウポケモンの特徴なども説明されています。さらに、交代や特殊状態のルールやタイプ相性、車道ポケモンの特徴、勝敗のテクニックなども解説されています。対戦戦略についても詳しく説明され、相手のポケモンのタイプや技を考慮しながら有利なポケモンを出すことやスペシャルアタックのタイミングをうまく使うことが重要です。プレゼンテーションの目的は、ポケモンゴーのプレイヤーに対して有用な情報を提供することです。,ポケモンというゲーム・その戦略,"['#ポケモンGO', '#ポケモンGO対戦', '#バトル戦略', '#ポケモン対戦']"
スタートデッキ100の魅力 ~構築済みの新時代~【リモポケ学会#2】,https://www.youtube.com/watch?v=sqdhuPsQ0mM,このプレゼンテーションでは、ポケモンカードの世界で起こった革命的な出来事について説明されています。ポケモンカードゲームでは、デッキと呼ばれるカードの組み合わせで対戦しますが、デッキを作る作業や必要なカードを集めることが難しいという問題がありました。そこで、新たな挑戦として「100デッキ」という商品が登場しました。100デッキは、パックとデッキの融合であり、ランダムなカードで構成されています。これにより、手軽に遊べるデッキが提供され、新たな発見や楽しみが得られます。また、プレミアムトレーナーズボックスという商品も紹介され、本格的なデッキ対策ができるとされています。しかし、ポケモンが揃うことはないため、価格が高いという指摘もあります。最後に、スタートデッキ100という固定されたカードで構成されたデッキが紹介され、未知の体験やコレクション要素が楽しめると述べられています。このプレゼンテーションは、ポケモンカードゲームの新たな遊び方や商品について説明し、ポケモンカードプレイヤーにとって楽しい体験を提供することを目指しています。,商品・経済,['#ポケモンカードゲーム']
スバイレット増田　御意見無用【リモポケ学会#6】,https://www.youtube.com/watch?v=9GCqH2zD4gE,"このプレゼンテーションでは、ポケモンの新作ゲーム「スマイレッドマスター」についての調査結果が発表されます。増田純一氏についての説明や彼の関与するポケモンの制作についても触れられます。また、スマイレッドマスターの舞台であるパルデラ地方のモデルがスペインである可能性があり、増田純一氏がスペインを訪れたことが振り返られます。さらに、スマイレッドマスターのシナリオにおける学校の役割や、実際のスペインの学校での講演の経験なども紹介されます。最後に、PVで使用された吹奏楽曲「アルバマー序曲」についても言及され、学校を舞台にした演出を行っていることが示唆されます。

また、ポケモンの曲の演奏やアルバムの選曲について話されています。アルバムの序曲が選ばれた理由は、プレゼンターが高校時代吹奏楽部だったことや、増田部長の影響を受けていることが関係しているようです。さらに、ポケモンのゲーム内に登場する食事文化や料理についても触れられており、益田市がスペインの食事文化に触発されていることが紹介されています。さらに、スターモービルやトラック野郎についても言及されており、益田市の好きなデコトラやトラック野郎の要素がポケモンに取り入れられていることが示唆されています。最後に、ポケモンのポケモンに関する書籍やVジャンプの特徴についても触れられています。

さらに、ポケモンに関するさまざまな要素が紹介されました。幻のポケモンが登場するルポ漫画やスマイレッドブックについて言及されました。また、益田市と大森氏が関与している可能性があり、ヴァイオレットブックにも直接的な伏線があることが示唆されました。さらに、ポケモンの種類やデザインには益田市の体験や趣味が反映されている可能性があります。さらに、パルディア地方のモデルが神奈川県であることが示唆され、ポケモンの世界大会やWCSの開催地も関連していることが明らかにされました。最後に、増田ファクターやモチーフについての考察が行われ、益田市の関与が示唆されました。

また、ポケモンの開発スタッフの一人である早稲田純一氏の動向に注目されていることが紹介されました。彼はブログやSNSで積極的に情報発信を行っており、リモートポケモン学会でも名物プレゼンターとして活躍しています。さらに、質問や意見をYouTubeのコメントやTwitterのハッシュタグを通じて募集しており、積極的に参加者とのコミュニケーションを図っています。さらに、益田市についての質問があり、彼は益田市がポケモンの伏線を張っていることを理由に研究していると述べました。また、増田ファクターについても触れられ、彼の関与度については詳細はわからないものの、彼の名前はエンディングクレジットに載っている可能性があると述べました。さらに、クチバシティのトラックやスマイレッドのサンドイッチのデザインについても言及され、それぞれの要素には彼の関与がある可能性があるとされました。最後に、マスターファクターについても言及され、現時点で確認されているマツダファクターに加えて、今後も新たな要素が追加される可能性があると述べられました。

関東や神奈川に詳しくないため、エリア0の話には詳しく触れられていない。しかし、東戸塚がエリア0ではないかという意見があり、パワーワードの連続で面白かったという感想もあった。また、ミモザ先生の同僚のトレーナーについての質問があり、それに対しては稲永先生が詳しく答えられなかった。さらに、エリア0の東戸塚要素についての質問があり、増田の実家のポケモンの名前についての話が出た。最後に、パラドックスポケモンについてのコメントがあり、休憩後に名古屋藤吉さんのプレゼンが期待されている。

以上の要点をまとめると、このプレゼンテーションではポケモンの新作ゲーム「スマイレッドマスター」についての調査結果や増田純一氏の関与、スペインや学校の役割についての情報が紹介されました。また、ポケモンの曲やアルバム、食事文化、デコトラやトラック野郎の要素、ポケモンの種類やデザインに関する情報もありました。さらに、早稲田純一氏の動向や益田市の関与、マスターファクターについての考察も行われました。エリア0や東戸塚、ミモザ先生のトレーナーに関する質問やパラドックスポケモンについてのコメントもありました。",基本情報,"['#増田純一（ポケモンのクリエイター）', '#新作ポケモンのヒント', '#スマイレッドマスター', '#パルデラ地方', '#スペイン', '#早稲田純一', '#エリア0', '#東戸塚', '#ミモザ先生', '#パラドックスポケモン']"
ターンという概念の芽生え ～ルール追加による変遷～【リモポケ学会#3】,https://www.youtube.com/watch?v=Qo6ki8ehN2c,このプレゼンテーションでは、ポケモンの対戦における「ターン」という概念について詳しく説明されています。ターンはポケモンの行動や交代、技の選択などを含む基礎的な概念であり、第3世代から第4世代においても変化があることが取り上げられています。特殊なターン処理や技「猫騙」についても詳しく説明されています。また、連続技や特性についても説明され、連続技は一度しか出せず、次のターンは休む必要があるとされていますが、実際には毎ターン行動することができます。特性の一つであるスロースタートについても触れられ、その解除方法が説明されています。さらに、ダブルバトルやトリプルバトルではポケモンの数に応じて行動やターンの数も変わるため、それぞれのバトル形式に合わせた戦略が必要です。プレゼンテーションでは、ポケモンのバトルにおける戦略やテクニックについても詳しく説明され、参加者の質問にも丁寧に回答されています。また、新しい技やバトルシステムの実装についても話され、実現可能性や実用性、バランスの重要性が強調されています。最後に、特殊な戦術を楽しむための情報提供や交流の場を提供していることが強調されています。,ポケモンというゲーム・その戦略,"['#ポケモン戦略', '#バトル戦略', '#ターン制バトル', '#バトルシステム']"
テラスタルとポケモンの脳〜医学的検査にむけての考察〜【リモポケ学会#7】,https://www.youtube.com/watch?v=7Sqdi1uVibY,このプレゼンテーションでは、ポケモンの脳とテラスタルについての考察が行われました。ポケモンの頭についているテラスタルジュエルの位置やパターンについて説明され、頭が複数あるポケモンやパラドックスポケモンにも触れられました。また、ポケモンの遺伝情報や行動に関する連続性が示唆され、テラスタルとポケモンの脳の関係についての結論が述べられました。さらに、ポケモンの特徴や進化、擬態、脳の有無についても説明されました。最後には、テラサルを用いた早期診断や非侵襲的検査の可能性について言及されましたが、具体的な評価や解釈には課題があり、さらなる研究が必要とされました。質疑応答では、テラスタルに関する質問やポケモンの特徴についての議論が行われました。今後もテラサルジュエルに関する描写が増えることが期待されます。,技術・研究,"['#テラスタルジュエル', '#ポケモンの脳', '#ポケモン研究']"
トランセルとモルフォンを繋ぐ痕跡は初期ドットにあった!?【リモポケ学会#4】,https://www.youtube.com/watch?v=VomXARRySeA,このプレゼンテーションでは、ポケモンの「モルフォン」と「バタフリー」について話しています。モルフォンは最初はアオスジアゲハの姿でデザインされていたようで、その後バタフリーと入れ替わってしまったという噂があります。プレゼンテーションでは、モルフォンとバタフリーの関係やデザインの変遷について掘り下げていく必要があると述べられています。,基本情報,"['#ポケモンデザイン', '#ポケモンデザイン変遷']"
